Limit,AVG Score
1,987.4309509377115
2,987.9045756800267
3,987.9110855171928
4,987.9110855171928
5,988.2654706040652
6,988.7970482343742
7,988.7970482343742
8,988.7970482343742
9,988.7970482343742
10,988.7970482343742
11,988.7970482343742
12,988.8549997679154
13,988.9893792117169
14,989.0213826191309
15,989.1067326187807
16,989.1920826184303
17,989.1920826184303
18,989.3306964193146
19,989.346097952746
20,989.346097952746
21,989.346097952746
22,989.346097952746
23,989.346097952746
24,989.346097952746
25,989.346097952746
26,989.346097952746
27,989.346097952746
28,989.346097952746
29,989.346097952746
30,989.346097952746
31,989.346097952746
32,989.346097952746
33,989.346097952746
34,989.346097952746
35,989.346097952746
36,989.346097952746
37,989.346097952746
38,989.346097952746
39,989.3584950061553
40,989.4080832197924
41,989.4080832197924
42,989.4080832197924
43,989.4080832197924
44,989.4080832197924
45,989.4080832197924
46,989.4080832197924
47,989.4080832197924
48,989.4080832197924
49,989.4080832197924
50,989.4214112517991
51,989.4214112517991
52,989.4214112517991
53,989.4214112517991
54,989.4214112517991
55,989.4214112517991
56,989.4214112517991
57,989.4214112517991
58,989.4214112517991
59,989.4214112517991
60,989.4214112517991
61,989.4214112517991
62,989.4214112517991
63,989.4214112517991
64,989.4214112517991
65,989.4214112517991
66,989.423825410949
67,989.4274466496736
68,989.4274466496736
69,989.4274466496736
70,989.4274466496736
71,989.4274466496736
72,989.4274466496736
73,989.4274466496736
74,989.4274466496736
75,989.4274466496736
76,989.4274466496736
77,989.4274466496736
78,989.4274466496736
79,989.4274466496736
80,989.4274466496736
81,989.4274466496736
82,989.4274466496736
83,989.4274466496736
84,989.4274466496736
85,989.4274466496736
86,989.4274466496736
87,989.4274466496736
88,989.4274466496736
89,989.4274466496736
90,989.4274466496736
91,989.4274466496736
92,989.4274466496736
93,989.4274466496736
94,989.4274466496736
95,989.4274466496736
96,989.4274466496736
97,989.4274466496736
98,989.4274466496736
99,989.4274466496736
100,989.4274466496736
